log Edd,Phi_tot,Phi_tot_err_low,Phi_tot_err_up
-2.00,7.43e-10,1.42e-10,5.67e-09
-1.90,2.36e-09,5.06e-10,1.51e-08
-1.80,6.89e-09,1.66e-09,3.73e-08
-1.70,1.86e-08,5.02e-09,8.56e-08
-1.60,4.63e-08,1.40e-08,1.82e-07
-1.50,1.06e-07,3.57e-08,3.58e-07
-1.40,2.24e-07,8.37e-08,6.51e-07
-1.30,4.36e-07,1.81e-07,1.10e-06
-1.20,7.78e-07,3.57e-07,1.71e-06
-1.10,1.28e-06,6.47e-07,2.47e-06
-1.00,1.92e-06,1.07e-06,3.29e-06
-0.90,2.64e-06,1.62e-06,4.06e-06
-0.80,3.33e-06,2.23e-06,4.63e-06
-0.70,3.85e-06,2.74e-06,4.87e-06
-0.60,4.06e-06,2.98e-06,4.99e-06
-0.50,3.92e-06,2.97e-06,4.83e-06
-0.40,3.46e-06,2.71e-06,4.26e-06
-0.30,2.78e-06,2.26e-06,3.41e-06
-0.20,2.05e-06,1.72e-06,2.49e-06
-0.10,1.37e-06,1.20e-06,1.65e-06
0.00,8.41e-07,7.45e-07,9.94e-07
0.10,4.69e-07,4.14e-07,5.44e-07
0.20,2.39e-07,2.12e-07,2.70e-07
0.30,1.11e-07,9.58e-08,1.23e-07
0.40,4.69e-08,3.95e-08,5.26e-08
0.50,1.81e-08,1.43e-08,2.10e-08
0.60,6.35e-09,4.53e-09,7.73e-09
0.70,2.03e-09,1.29e-09,2.61e-09
0.80,5.92e-10,3.31e-10,8.04e-10
0.90,1.57e-10,7.62e-11,2.27e-10
1.00,3.80e-11,1.58e-11,5.88e-11
