Object,log_L_1350[erg/s],log_L_1350_err_up,log_L_1350_err_low,FWHM(CIV)[km/s],FWHM(CIV)_err_up,FWHM(CIV)_err_low,log_L_bol[erg/s],log_L_bol_err_up,log_L_bol_err_low,log_M_BH[M_solar],log_M_BH_err_up,log_M_BH_err_low,log_Edd,log_Edd_err_up,log_Edd_err_low
J095825.79+012628.64,42.69,0.04,-0.05,7868,530,-1886,46.4,0.04,-0.05,9.42,0.06,-0.32,-1.12,0.32,-0.06
J095819.36+013530.52,42.18,0.07,-0.12,952,71,-53,45.89,0.07,-0.12,7.31,0.08,-0.1,0.48,0.05,-0.07
J095848.37+013818.12,41.99,0.0,-0.0,1743,130,-148,45.7,0.0,-0.0,7.74,0.06,-0.08,-0.13,0.08,-0.06
J100142.97+030118.85,42.09,0.06,-0.08,1464,106,-100,45.8,0.06,-0.08,7.64,0.07,-0.06,0.06,0.08,-0.07
J021917.34-040443.21,42.35,0.08,-0.09,1355,139,-97,46.06,0.08,-0.09,7.71,0.08,-0.08,0.25,0.07,-0.1
J095931.01+021332.89,41.7,0.04,-0.04,2681,314,-338,45.41,0.04,-0.04,7.96,0.08,-0.13,-0.65,0.14,-0.1
J100149.65+030657.10,42.49,0.02,-0.02,1211,52,-30,46.2,0.02,-0.02,7.69,0.04,-0.02,0.42,0.03,-0.04
J100001.06+020220.06,42.51,0.04,-0.03,3170,476,-486,46.22,0.04,-0.03,8.53,0.12,-0.15,-0.41,0.16,-0.12
J100129.25+012635.27,42.92,0.02,-0.02,4502,1041,-1141,46.64,0.02,-0.02,9.06,0.17,-0.28,-0.52,0.27,-0.18
J100320.90+022930.03,42.98,0.02,-0.02,5958,486,-2067,46.69,0.02,-0.02,9.33,0.06,-0.75,-0.74,0.78,-0.07
J100307.73+021706.29,42.32,0.02,-0.03,1343,337,-164,46.03,0.02,-0.03,7.68,0.17,-0.12,0.24,0.11,-0.18
J021732.40-051250.72,42.68,0.02,-0.03,6542,764,-1326,46.39,0.02,-0.03,9.25,0.09,-0.21,-0.96,0.2,-0.1
J021404.39-064010.39,42.82,0.01,-0.01,1896,165,-126,46.53,0.01,-0.01,8.25,0.07,-0.06,0.18,0.06,-0.07
J141109.04-003446.56,41.94,0.2,-0.17,1993,523,-676,45.65,0.2,-0.17,7.83,0.22,-0.45,-0.27,0.51,-0.19
J141952.07-004857.10,42.42,0.03,-0.02,5303,1000,-2233,46.13,0.03,-0.02,8.93,0.15,-0.94,-0.9,0.95,-0.15
J141852.62+001717.48,41.7,0.08,-0.17,1965,559,-413,45.41,0.08,-0.17,7.69,0.18,-0.31,-0.38,0.27,-0.2
J144045.12+011033.41,42.56,0.02,-0.02,4041,582,-1297,46.27,0.02,-0.02,8.77,0.11,-0.71,-0.6,0.72,-0.11
J224918.73+014400.32,42.53,0.02,-0.02,6942,1324,-2035,46.24,0.02,-0.02,9.22,0.15,-0.35,-1.08,0.35,-0.15
J224802.49+014930.62,42.75,0.02,-0.03,6262,966,-1957,46.46,0.02,-0.03,9.25,0.12,-0.64,-0.89,0.64,-0.12
J223523.91+005801.81,42.46,0.11,-0.12,4769,860,-745,46.17,0.11,-0.12,8.86,0.16,-0.17,-0.79,0.17,-0.16
J140511.31-012647.74,42.73,0.01,-0.01,3668,119,-157,46.44,0.01,-0.01,8.78,0.03,-0.04,-0.43,0.04,-0.03
J021228.97-061513.12,42.3,0.03,-0.04,2850,268,-241,46.01,0.03,-0.04,8.33,0.08,-0.08,-0.42,0.08,-0.08
