Object,ra,dec,criteria,QOP,type,i-mag,z_spec
J095825.79+012628.64,149.61,1.44,collaborator,4,-,20.57,3.167
J095819.36+013530.52,149.58,1.59,collaborator,4,-,21.61,3.051
J095848.37+013818.12,149.7,1.64,collaborator,4,-,22.32,3.19
J100142.97+030118.85,150.43,3.02,c3,4,-,21.55,3.451
J021917.34-040443.21,34.82,-4.08,c3,4,-,21.13,3.483
J095931.01+021332.89,149.88,2.23,c1,4,-,22.73,3.638
J100149.65+030657.10,150.46,3.12,c1,4,-,21.03,3.506
J100001.06+020220.06,150.0,2.04,c1,4,-,21.53,3.507
J100129.25+012635.27,150.37,1.44,c1,4,-,20.5,4.124
J100320.90+022930.03,150.84,2.49,collaborator,4,-,20.55,4.441
J100307.73+021706.29,150.78,2.29,collaborator,4,-,21.62,3.624
J021732.40-051250.72,34.38,-5.21,collaborator,4,-,20.8,3.206
J021404.39-064010.39,33.52,-6.67,c3,4,-,20.78,3.481
J141109.04-003446.56,212.79,-0.58,c3,4,-,21.86,3.069
J141952.07-004857.10,214.97,-0.82,c3,4,-,21.32,3.582
J141852.62+001717.48,214.72,0.29,c3,4,-,22.68,3.387
J144045.12+011033.41,220.19,1.18,c3,4,-,21.39,3.452
J224918.73+014400.32,342.33,1.73,c3,4,-,21.28,3.478
J224802.49+014930.62,342.01,1.83,c3,4,-,20.68,3.597
J223523.91+005801.81,338.85,0.97,c3,4,-,21.36,3.46
J140511.31-012647.74,211.3,-1.45,co,4,-,20.27,3.062
J021228.97-061513.12,33.12,-6.25,c1,4,-,21.57,3.586
J021207.13-062157.85,33.03,-6.37,c1,4,-,21.98,3.726
J021651.21-060328.77,34.21,-6.06,c1,4,-,21.93,3.538
J021211.45-051258.43,33.05,-5.22,c1,4,-,21.79,3.856
J021547.05-064527.93,33.95,-6.76,c1,4,-,21.14,3.581
J224833.27+014153.19,342.14,1.7,c1,4,-,20.45,3.522
J224736.80+005035.74,341.9,0.84,c1,4,-,22.4,3.586
J224336.12+011217.41,340.9,1.2,c1,4,-,21.71,3.98
J224727.25+001553.47,341.86,0.26,c1,4,-,21.66,3.596
J224705.21+020140.60,341.77,2.03,c1,4,-,21.39,3.727
J224620.45+005341.08,341.59,0.89,c1,4,-,20.14,3.652
J142141.40-000639.96,215.42,-0.11,c1,4,-,22.63,3.584
J141710.02-011630.37,214.29,-1.28,c1,4,-,21.92,3.971
J141549.62+000535.19,213.96,0.09,c1,4,-,21.62,3.639
J142251.56+000142.78,215.71,0.03,c1,4,-,20.83,4.253
J141743.93-003328.40,214.43,-0.56,c1,4,-,20.74,3.552
J142155.58-004957.37,215.48,-0.83,c1,4,-,20.5,4.035
J141656.61-001743.45,214.24,-0.3,c1,4,-,22.13,3.644
J144011.24+011703.03,220.05,1.28,c1,4,-,21.47,3.837
J143747.44+011749.68,219.45,1.3,c1,4,-,22.38,3.859
J144024.09+013649.92,220.1,1.61,c1,4,-,21.5,3.645
J143954.19+011251.02,219.98,1.21,c1,4,-,20.97,4.144
J144105.14+014510.90,220.27,1.75,c1,4,-,21.72,3.842
J144420.54+012006.08,221.09,1.34,c1,4,-,21.56,3.541
J144218.23+014422.08,220.58,1.74,c1,4,-,22.08,4.246
J143900.10+012910.86,219.75,1.49,c1,4,-,21.02,3.647
J144038.43+014435.01,220.16,1.74,c1,4,-,22.19,3.599
J220504.39+021853.78,331.27,2.31,c1,4,-,21.39,3.594
J220751.01+021130.42,331.96,2.19,c1,4,-,21.95,3.638
J220522.42+021149.32,331.34,2.2,c1,4,-,21.51,3.926
J141039.69-002036.72,212.67,-0.34,c1,4,-,20.34,3.951
J140957.60-010860.00,212.49,-1.15,c1,4,-,21.71,3.737
J140738.04-004006.37,211.91,-0.67,c1,4,-,21.21,3.586
J141045.23-002851.75,212.69,-0.48,c1,4,-,20.13,3.501
J140755.06-015225.65,211.98,-1.87,c1,4,-,21.62,3.702
J140422.59-010606.44,211.09,-1.1,c1,4,-,21.82,3.618
J223535.59+003602.07,338.9,0.6,c1,4,-,20.14,3.866
J223753.72+000648.18,339.47,0.11,c1,4,-,20.43,3.547
J224528.23+013956.41,341.37,1.67,c4,4,-,20.3,3.284
J224832.90+011726.72,342.14,1.29,c5,4,-,20.55,3.442
J021432.49-064548.88,33.64,-6.76,c2,4,-,21.82,3.608
J142048.44-000006.26,215.2,-0.0,c2,4,-,20.19,4.317
J141809.68-010502.32,214.54,-1.08,c2,4,-,20.22,4.043
J144417.88-000200.83,221.07,-0.03,c3,4,-,20.91,3.465
J144359.07-002510.48,221.0,-0.42,c1,4,-,22.18,3.737
J141844.60+010747.04,214.69,1.13,c1,4,-,22.75,3.651
J091408.20-012511.99,138.53,-1.42,c1,4,-,22.58,3.938
J141550.76+010300.23,213.96,1.05,c1,4,-,22.7,3.788
J115616.98-005937.06,179.07,-0.99,c1,4,-,23.21,3.761
J163413.29+430031.31,248.56,43.01,c1,4,-,21.55,3.919
J120357.95+003205.17,180.99,0.53,c1,4,-,21.42,3.729
J092553.16+023956.30,141.47,2.67,c1,4,-,21.95,3.526
J115626.34-005832.99,179.11,-0.98,c1,4,-,22.87,3.78
J144805.20-014547.60,222.02,-1.76,c1,4,-,22.67,3.618
J141838.72+010601.96,214.66,1.1,c1,4,-,21.33,3.531
J141812.47+010604.50,214.55,1.1,c1,4,-,22.88,3.692
J144803.28-014219.31,222.01,-1.71,c1,4,-,22.45,3.679
J144742.69-013140.47,221.93,-1.53,c1,4,-,22.96,3.781
J115608.96-010853.40,179.04,-1.15,c4,4,-,20.73,3.361
J095910.98+013225.07,149.8,1.54,collaborator,3,-,20.97,3.238
J095924.79+025446.95,149.85,2.91,collaborator,3,-,22.3,3.261
J022156.65-043816.72,35.49,-4.64,collaborator,3,-,22.57,3.283
